id,label
/c/en/assassins/n,assassins
/c/en/taxaholic/n,taxaholic
/c/en/computer_networking_cable/n,computer networking cable
/c/en/lamentable/a/wn,lamentable
at:to_go_trick_or_treating_to_get_more_candy,to go trick or treating to get more candy
/c/en/fertile_husband,fertile husband
/c/en/cassava/n/opencyc/cassava_foodstuff,cassava
/c/en/contra_dances,contra dances
/c/en/approachless,approachless
/c/en/hyperreactor,hyperreactor
/c/en/personal_video_recorders/n,personal video recorders
/c/en/progressive/n/wn/person,progressive
/c/en/alloocimene,alloocimene
/c/en/uncle_sam,uncle sam
/c/en/mermaid/n/wn/person,mermaid
/c/en/oligodendropathies/n,oligodendropathies
/c/en/chancroidal,chancroidal
at:people_get_out_of_work_earlier_because_of_it,people get out of work earlier because of it
/c/en/outdo/v,outdo
/c/en/see_antique_jewelry,see antique jewelry
/c/en/amnestied/a,amnestied
/c/en/matronaea/n,matronaea
/c/en/henry_v/n/wn/person,Henry V
/c/en/free_enterprise/n/wn/group,free enterprise
/c/en/pacifist/n,pacifist
at:to_tell_personx_they_don't_need_help,to tell personx they don't need help|to tell they don't need help
/c/en/rainbirds,rainbirds
at:to_keep_persony_from_getting_run_over,to keep from getting run over|to keep persony from getting run over
/c/en/expensive_fabric,expensive fabric
/c/en/suitcase,suitcase
/c/en/stagione/n,stagione
/c/en/unhedged/a,unhedged
/c/en/hypercritick,hypercritick
/c/en/lepidocrocite/n,lepidocrocite
/c/en/surface_boundary_layer,surface boundary layer
/c/en/assentest,assentest
/c/en/refundments/n,refundments
at:to_gift_the_time_pass,to gift the time pass
/c/en/mucopolysaccharidosis_type_i,mucopolysaccharidosis type i
/c/en/gas_field/n,gas field
/c/en/chick_flick,chick flick
/c/en/dressed_to_kill,dressed to kill
at:get_in_an_argument,get in an argument
at:has_to_move_their_arms,has to move their arms
/c/en/unrespited,unrespited
/c/en/knock_out/v/wn/emotion,knock out
at:starts_to_sneeze,starts to sneeze
Q2075910,courtesy name
/c/en/land_poor,land poor
at:to_indulge_in_something,to indulge in something
/c/en/cyclic,cyclic
/c/en/lxxxvi/a/wn,lxxxvi
/c/en/begun_with_chucky/v,begun with chucky
/c/en/ulosonic_acid/n,ulosonic acid
/c/en/darkish_area_on_mars,darkish area on mars
/c/en/nonherbal,nonherbal
/c/en/fetishistically/r,fetishistically
/c/en/traditionalized/v,traditionalized
/c/en/burgonian,burgonian
/c/en/infinities,infinities
/c/en/sarcotubule/n,sarcotubule
/c/en/anodization,anodization
/c/en/silenoside/n,silenoside
/c/en/pulmometry/n,pulmometry
/c/en/broiled,broiled
/c/en/tabernaemontana/n/wn/plant,Tabernaemontana|genus Tabernaemontana
at:to_relax_and_kick_back,to relax and kick back
/c/en/pizza_man,pizza man
/c/en/hypomenorrhea,hypomenorrhea
/c/en/voluntaryist,voluntaryist
/c/en/feateous/a,feateous
at:personx_is_able_to_escape,is able to escape|personx is able to escape
/c/en/arm_and_leg,arm and leg
/c/en/gerontotherapist,gerontotherapist
/c/en/hydroxybenzoquinone,hydroxybenzoquinone
/c/en/boilersmith,boilersmith
/c/en/half_baked/a,half baked
at:personx_interferes_in_persony_way,interferes in way|personx interferes in persony way
at:to_be_a_respected_individual,to be a respected individual
/c/en/zig_when_one_should_zag,zig when one should zag
/c/en/dame/n,dame
/c/en/widgetized/v,widgetized
Q2056902,patient library
/c/en/roleplaying_game/n,roleplaying game
/c/en/nonmasturbating,nonmasturbating
/c/en/food_prepared_at_table,food prepared at table
at:to_stay_on_the_right_track,to stay on the right track
/c/en/olympic_mens_high_jump/n,olympic mens high jump
/c/en/nondrusenoid/a,nondrusenoid
/c/en/birthday_fiesta,birthday fiesta
/c/en/killfilters/n,killfilters
/c/en/fatehgarh_sahib/n,fatehgarh sahib
at:starts_writing,starts writing
/c/en/geometric,geometric
at:drive_to_the_mini_golf_course,drive to the mini golf course
/c/en/enola_bean,enola bean
/c/en/lateralisations/n,lateralisations
/c/en/fluindione/n,fluindione
/c/en/micromorphology,micromorphology
at:to_gain_prestige_in_the_group,to gain prestige in the group
